City,County,Place,lat,lon,rest_id,Location
Goa,India,Five Flowers Bar and Restaurant,15.320769,73.93184000000002,13928882582184543145,"Five Flowers Bar and Restaurant,Goa,India"
Goa,India,Shrivardhan Cafe and Restaurant,15.44297,73.86606,3314440016263071468,"Shrivardhan Cafe and Restaurant,Goa,India"
Goa,India,49ers Restaurant & Pub,15.276268,73.91528199999998,7320034107306494490,"49ers Restaurant & Pub,Goa,India"
Goa,India,Sams Cottages and Resto Pub,15.283947,73.91360999999998,18437180867141453578,"Sams Cottages and Resto Pub,Goa,India"
Goa,India,Seashell Family Restaurant & Bar,15.2846,73.91264,14612606734561333058,"Seashell Family Restaurant & Bar,Goa,India"
Goa,India,Spice Studio Restaurant,15.306842,73.911485,9925433815723886321,"Spice Studio Restaurant,Goa,India"
Goa,India,Magzika Bar and Restaurant,15.313902,73.914406,15320262699224813510,"Magzika Bar and Restaurant,Goa,India"
Goa,India,Top View Restaurant,15.459103,73.81277,5524904429018957009,"Top View Restaurant,Goa,India"
Goa,India,Hill Top Bar & Restaurant,15.487459,73.83184,9020888848865773149,"Hill Top Bar & Restaurant,Goa,India"
Goa,India,Roma Pisa Restaurant,15.518762,73.76669,10436194399765744984,"Roma Pisa Restaurant,Goa,India"
Goa,India,Wild West Bar n Restaurant,15.252726,74.10494,11102728817386539110,"Wild West Bar n Restaurant,Goa,India"
Goa,India,Dinha's Restaurant,15.259926,73.92668,8204552484723311375,"Dinha's Restaurant,Goa,India"
Goa,India,The Camron Restaurant,15.30702,73.912236,1434919528284112423,"The Camron Restaurant,Goa,India"
Goa,India,Andron Restaurant,15.593066,73.85359,9178342749143714459,"Andron Restaurant,Goa,India"
Goa,India,Pakiza Restaurant,15.499111,73.83103,4658218361001427223,"Pakiza Restaurant,Goa,India"
Goa,India,Vinanti Restaurant & Bar,15.500582,73.82786999999998,16177195112473906416,"Vinanti Restaurant & Bar,Goa,India"
Goa,India,Horse Shoe Bar & Restaurant,15.497591,73.83216,13556450690491631938,"Horse Shoe Bar & Restaurant,Goa,India"
Goa,India,Edu's Multi Cuisine Restaurant,15.487245,73.812919,8387847229023340610,"Edu's Multi Cuisine Restaurant,Goa,India"
Goa,India,New Kohinoor Restaurant,15.485088,73.82160999999998,4950746800081686103,"New Kohinoor Restaurant,Goa,India"
Goa,India,Amancio Bar and Restaurant,15.631503,73.764626,8034142832457238373,"Amancio Bar and Restaurant,Goa,India"
Goa,India,Peter's Pub & Restaurant,15.320833,73.904577,2350473910128296521,"Peter's Pub & Restaurant,Goa,India"
Goa,India,Shilpa Restaurant,15.262998,74.10855,6567496564907788649,"Shilpa Restaurant,Goa,India"
Goa,India,Flora Family Restaurant & Pub,15.263108,74.109492,9865769081549376051,"Flora Family Restaurant & Pub,Goa,India"
Goa,India,Bollywood Cafe Bar & Restaurant,15.263404,74.104,2719256894900682898,"Bollywood Cafe Bar & Restaurant,Goa,India"
Goa,India,JK Restaurant,15.5579004,74.0202623,6645726730068444725,"JK Restaurant,Goa,India"
Goa,India,Valentino's Multi Cusine Restaurant,15.496743,73.782036,11067610060934889782,"Valentino's Multi Cusine Restaurant,Goa,India"
Goa,India,Rajesh Bar & Restaurant,15.655322,73.84646,15951982417283204431,"Rajesh Bar & Restaurant,Goa,India"
Goa,India,Spy Bar & Restaurant,15.652112,73.84658,10999125878551429525,"Spy Bar & Restaurant,Goa,India"
Goa,India,Tropicana Riverside Bar & Restaurant,15.497955,73.780365,16888691596802083198,"Tropicana Riverside Bar & Restaurant,Goa,India"
Goa,India,Sarina Bar and Restaurant,15.418696,73.90384,6111126511071219466,"Sarina Bar and Restaurant,Goa,India"
Goa,India,Costav's Bar n Restaurant,15.336265,74.019348,6586335012417063237,"Costav's Bar n Restaurant,Goa,India"
Goa,India,Bina Bar and Restaurant,15.322693,73.93953,12535313001217345186,"Bina Bar and Restaurant,Goa,India"
Goa,India,Hotel Damodar Bar and Restaurant,15.328237,73.933464,17495079545476632449,"Hotel Damodar Bar and Restaurant,Goa,India"
Goa,India,Archie Restaurant & Bar,15.335946,73.994564,1035321001754379403,"Archie Restaurant & Bar,Goa,India"
Goa,India,Anushka Family Restaurant,15.335837,73.99491,16486453748345620810,"Anushka Family Restaurant,Goa,India"
Goa,India,Fishland Bar and Restaurant,15.332377,73.99250699999997,1138752648600308132,"Fishland Bar and Restaurant,Goa,India"
Goa,India,Lake View Bar & Restaurant,15.336778,73.998634,11027456498079319817,"Lake View Bar & Restaurant,Goa,India"
Goa,India,D `Costa Bar and Restaurant,15.227831,74.13759,15036068892307179938,"D `Costa Bar and Restaurant,Goa,India"
Goa,India,Candle Light Bar & Restaurant,15.617107999999998,73.76254,3469638850737360239,"Candle Light Bar & Restaurant,Goa,India"
Goa,India,Leo's Family Restaurant & Bar,15.646789000000002,73.836,17182673727284266528,"Leo's Family Restaurant & Bar,Goa,India"
Goa,India,Lobo Bar & Restaurant,15.61222,73.81004,9270228624729000863,"Lobo Bar & Restaurant,Goa,India"
Goa,India,Lawrence Bar & Restaurant,15.61567,73.794427,13060311839275895735,"Lawrence Bar & Restaurant,Goa,India"
Goa,India,Buon Appetito - Italian Restaurant,15.597073000000002,73.74863,17750546091118710716,"Buon Appetito - Italian Restaurant,Goa,India"
Goa,India,Kentuckee Seafood Restaurant,15.2777456,73.9139004,1848796641360758659,"Kentuckee Seafood Restaurant,Goa,India"
Goa,India,Sadanand Bar & Restaurant,15.400308,73.97899,13772823386825246479,"Sadanand Bar & Restaurant,Goa,India"
Goa,India,Savor Restaurant & Bar,15.387295000000002,74.003782,15172339994245087524,"Savor Restaurant & Bar,Goa,India"
Goa,India,Mahesh Bar And Restaurant,15.399938,73.97976,3565113966732725425,"Mahesh Bar And Restaurant,Goa,India"
Goa,India,Hot Pot Bar and Restaurant,15.5431368,73.8206992,12531127459648195712,"Hot Pot Bar and Restaurant,Goa,India"
Goa,India,Bella Vista Bar and Restaurant,15.5434854,73.8119658,4988129944556555667,"Bella Vista Bar and Restaurant,Goa,India"
Goa,India,Branco's Restaurant and Bar,15.4827646,73.8199891,1854877418847882901,"Branco's Restaurant and Bar,Goa,India"
Goa,India,Jacksons Restaurant & Bar,15.282885999999998,73.969086,9843108106183396638,"Jacksons Restaurant & Bar,Goa,India"
Goa,India,Sai Palace - Family Bar and Restaurant,15.427206,73.89827,4512079256465918770,"Sai Palace - Family Bar and Restaurant,Goa,India"
Goa,India,Raddish Bar and Restaurant,15.5688195,73.7536094,7130617793679476927,"Raddish Bar and Restaurant,Goa,India"
Goa,India,Alexander Radhe Krishna Restaurant,15.2768644,73.9153714,14677344731187728035,"Alexander Radhe Krishna Restaurant,Goa,India"
Goa,India,Hot Spice Kitchen Restaurant,15.2768621,73.91527959999998,9010020572552383096,"Hot Spice Kitchen Restaurant,Goa,India"
Goa,India,Seamen's Corner Family Restaurant and Bar,15.2021549,73.9769733,7980781540909924793,"Seamen's Corner Family Restaurant and Bar,Goa,India"
Goa,India,Darya AC Family Restaurant,15.400918,74.013159,1802748912225373736,"Darya AC Family Restaurant,Goa,India"
Goa,India,Baretto Bar and Restaurant,15.239862900000002,73.9417035,9810578933517141993,"Baretto Bar and Restaurant,Goa,India"
Goa,India,Vincent Restaurant and Bar,15.2445456,73.938839,8393997236453853705,"Vincent Restaurant and Bar,Goa,India"
Goa,India,Inn Street Family Restaurant & Bar,15.568559,74.00056,3704820409375869280,"Inn Street Family Restaurant & Bar,Goa,India"
